"";"serie";"fecha";"valor";"año";"mes";"fecha_scraping"
"1";"Imacec empalmado, serie original (índice 2018=100)";"2013-1-1";86,6;2013;1;2025-02-24
"2";"Imacec empalmado, serie original (índice 2018=100)";"2013-2-1";82,2;2013;2;2025-02-24
"3";"Imacec empalmado, serie original (índice 2018=100)";"2013-3-1";93;2013;3;2025-02-24
"4";"Imacec empalmado, serie original (índice 2018=100)";"2013-4-1";91,4;2013;4;2025-02-24
"5";"Imacec empalmado, serie original (índice 2018=100)";"2013-5-1";90,7;2013;5;2025-02-24
"6";"Imacec empalmado, serie original (índice 2018=100)";"2013-6-1";88,6;2013;6;2025-02-24
"7";"Imacec empalmado, serie original (índice 2018=100)";"2013-7-1";85,5;2013;7;2025-02-24
"8";"Imacec empalmado, serie original (índice 2018=100)";"2013-8-1";88,9;2013;8;2025-02-24
"9";"Imacec empalmado, serie original (índice 2018=100)";"2013-9-1";85,3;2013;9;2025-02-24
"10";"Imacec empalmado, serie original (índice 2018=100)";"2013-10-1";92,3;2013;10;2025-02-24
"11";"Imacec empalmado, serie original (índice 2018=100)";"2013-11-1";94,5;2013;11;2025-02-24
"12";"Imacec empalmado, serie original (índice 2018=100)";"2013-12-1";97;2013;12;2025-02-24
"13";"Imacec empalmado, serie original (índice 2018=100)";"2014-1-1";88,1;2014;1;2025-02-24
"14";"Imacec empalmado, serie original (índice 2018=100)";"2014-2-1";84,8;2014;2;2025-02-24
"15";"Imacec empalmado, serie original (índice 2018=100)";"2014-3-1";95,3;2014;3;2025-02-24
"16";"Imacec empalmado, serie original (índice 2018=100)";"2014-4-1";92,9;2014;4;2025-02-24
"17";"Imacec empalmado, serie original (índice 2018=100)";"2014-5-1";92,5;2014;5;2025-02-24
"18";"Imacec empalmado, serie original (índice 2018=100)";"2014-6-1";89,9;2014;6;2025-02-24
"19";"Imacec empalmado, serie original (índice 2018=100)";"2014-7-1";86,1;2014;7;2025-02-24
"20";"Imacec empalmado, serie original (índice 2018=100)";"2014-8-1";89,6;2014;8;2025-02-24
"21";"Imacec empalmado, serie original (índice 2018=100)";"2014-9-1";87,4;2014;9;2025-02-24
